Site,Type,Time,Rep,Machine,AvgThickness,WaterWt,PercentWater,Notes,WaterCheck,PAR0,PAR25,PAR50,PAR100,PAR150,PAR300,PAR500,PAR750,PAR1000,PAR1250,PAR1600,PAR2000,Resp,Net,QY,LightSat,Shape,Amax,Cfix
WHS,cl,0.5,1,s,6.9425,1.1134,0.585660933,maybeexclude,,-4.929080376504186,-3.848692066763195,-2.990462803750299,-2.0851502867928007,-1.1704572265149193,0.1504837311627641,1.2480720895441921,1.9568990753298945,2.558662473766969,2.8183973404069276,3.046686566131682,3.0503080671962253,4.929080376504186,3.0503080671962253,0.04099394192235868,2000,UpUpUp,7.979388443700412,7.979388443700412
WHS,cl,0.5,2,b,7.9925,0.9512,0.385882353,maybeexclude,,-5.225853707572103,-4.273225526554645,-3.8474371191264867,-3.0856489216366074,-2.559491264753495,-1.5477337339781574,-1.086717881891127,-0.5818847785856207,-0.3106276008388978,-0.3956237666724011,-0.03644633304803919,0.42924827497838236,5.225853707572103,0.42924827497838236,0.03283672950480532,2000,UpUpUp,5.655101982550486,5.655101982550486
WHS,cl,0.5,3,t,7.5925,0.7551,0.29241374,maybeexclude,,-4.113605946632819,-2.7929372149524716,-1.9025728782842837,-0.8414223009673213,0.15291560970190468,1.181450039854384,1.9361183919456706,2.532051929912707,2.9689785973146594,3.1549977711350197,3.469046044144083,3.535970257090642,4.113605946632819,3.535970257090642,0.0485237053170923,2000,UpUpUp,7.649576203723461,7.649576203723461
WHS,cl,0.5,4,s,7.175,0.3859,0.157568086,maybeexclude,,-6.063733422946152,-5.071984602160717,-4.360302854094186,-3.3805580219026146,-2.465352116892956,-1.0174958902074283,0.22019046233817108,1.1336613939517892,1.5805544250361487,1.8990835061260032,2.055774483657783,2.0758636529953525,6.063733422946152,2.0758636529953525,0.036869282104228344,2000,UpUpUp,8.139597075941504,8.139597075941504
WHS,cl,0.5,5,b,6.245,0.406,0.191139777,maybeexclude,,-4.999887185154657,-4.203048629541052,-3.7077980950002134,-3.192746921564235,-2.5159163205670665,-1.6129073088062376,-0.8821159656423744,-0.3227100235147496,0.09353226548892768,0.2270687930132158,0.09862260552182386,0.27236166282280977,4.999887185154657,0.27236166282280977,0.028857662013816537,2000,UpUpUp,5.272248847977467,5.272248847977467
WHS,cl,0.5,6,t,8.28,3.9211,2.005985573,maybeexclude,x,-7.2562324065059105,-5.694591818760648,-4.904872943807888,-3.9393947501972675,-3.0695478273189054,-1.9022942174343311,-0.9723518180387989,-0.32089755945140896,0.2609968789178364,0.24936043636428332,0.6903224206555941,0.6263022863548516,7.2562324065059105,0.6903224206555941,0.05474640638188548,1600,TipDown,7.9465548271615045,7.9465548271615045
WHS,cl,0.5,7,s,7.9325,0.8262,0.350188615,,,-5.997058591196079,-4.319832827998695,-3.084170956535699,-2.170287114645248,-1.527419463615468,-0.600670836226046,-0.024835809215059918,0.5016122400641166,0.7631722299016988,1.2206080171019045,1.388524535493622,1.676300227278002,5.997058591196079,1.676300227278002,0.06267339161055147,2000,UpUpUp,7.673358818474081,7.673358818474081
WHS,cl,0.5,8,h,6.25,0.5527,0.31676983,,,-3.053942129172597,-2.4512570773856854,-1.8005041221135205,-1.2380361318312278,-0.4313325792406134,0.6291679030702096,1.2059497853439298,1.7399887033928707,2.5443933814361728,2.8463693802467263,2.7554750537358434,2.687640583570534,3.053942129172597,2.8463693802467263,0.024588081106329002,1250,TipDown,5.900311509419323,5.900311509419323
WHS,cl,0.5,9,t,6.8,4.1118,-3.194871795,,x,-6.118075289817597,-4.451565664273568,-3.9602703187112427,-1.607765617858496,-0.5522992451406328,0.3732823190432223,2.104551102592679,2.7813208130607814,3.0871063075315894,3.2490911173132933,3.7572664263100033,3.7802506523926986,6.118075289817597,3.7802506523926986,0.05490824222194411,2000,UpUpUp,9.898325942210295,9.898325942210295
WHS,cl,0.5,10,,7.715,0.8839,0.335726223,,,-4.3242453233843765,-3.6191186747622575,-3.062979624999378,-2.349201492495201,-1.9674727346359717,-1.228924409833616,-0.8327330576145876,-0.6770890682161586,-0.4623142675368042,-0.6110377953076537,-0.4184236809980846,-0.5361024513791244,4.3242453233843765,-0.4184236809980846,0.026715189956292365,1600,TipDown,3.905821642386292,3.905821642386292
