Site,Type,Time,PAR0,PAR25,PAR50,PAR100,PAR150,PAR300,PAR500,PAR750,PAR1000,PAR1250,PAR1600,PAR2000,Resp,Net,QY,LightSat,Shape,Amax,Cfix
WHS,CL,Half,-5.4698240337755895,-4.359834470185573,-3.307889756238843,-2.184283426839302,-1.6621575162940598,0.2271960677457554,1.486109496841487,2.401232141210278,2.8809517665678035,3.1388783536181184,2.9792346897308937,2.6770747288701857,5.4698240337755895,3.1388783536181184,0.043819134047167786,1250,TipDown,8.608702387393707,8.608702387393707
WHS,CL,Half,-6.190954071941137,-5.3939776299865265,-4.538137281411773,-3.5115199786189395,-2.66836942614087,-1.5686044659886145,-1.0517460920281674,-0.9352966442537305,-0.7069635937305878,-0.5844827444300453,-0.5469206005872477,-0.9209890886547667,6.190954071941137,-0.5469206005872477,0.03246769674438585,1600,TipDown,5.6440334713538896,5.6440334713538896
WHS,CL,Half,-7.358692758539743,-6.356049341204012,-5.64626753188145,-4.883719679738337,-4.2714878874830635,-3.2528319227548805,-2.4786094308946938,-2.0767256890249013,-1.6698091528597294,-1.427014677918882,-1.3513459641905434,-1.1937375563791612,7.358692758539743,-1.1937375563791612,0.03717712061329753,2000,UpUpUp,6.164955202160582,6.164955202160582
WHS,CL,Half,-5.139010776743798,-4.473336035394177,-4.044480840917186,-3.1451344913757837,-2.758136166827881,-2.0313309249326426,-1.665129005506398,-1.047242663541534,-0.8236277886078903,-0.4407881267833339,-0.14207510638520826,-0.08870014899934335,5.139010776743798,-0.08870014899934335,0.02425879418525854,2000,UpUpUp,5.050310627744454,5.050310627744454
WHS,CL,Half,-4.933705963675197,-4.6526987729661196,-4.3892622623757145,-3.73439719841246,-2.9956905412297354,-2.1336368829302264,-1.4244568068356807,-0.9747608684692974,-0.4398220138754875,0.08229648312370755,0.23581571863325282,0.29311739994331104,4.933705963675197,0.29311739994331104,0.01106458082717638,2000,UpUpUp,5.226823363618508,5.226823363618508
WHS,CL,Half,-4.3545677050452,-3.6218851114252364,-3.256309349177476,-2.7577358033591635,-2.081361337656501,-1.2317916717919766,-0.269771627268913,-0.23304214589545807,0.4558119318772132,0.8720832659434448,1.337569699721151,1.3118848318775416,4.3545677050452,1.337569699721151,0.02563623543107652,1600,TipDown,5.692137404766351,5.692137404766351
WHS,CL,Half,-6.01737859072728,-5.515266617079708,-5.228961065411852,-4.195945830631692,-3.4889659744168307,-2.699046644369777,-2.141873476507698,-1.4991667662491508,-0.9806084865281565,-0.602232471323766,-0.67068566042602,-0.48309337428576815,6.01737859072728,-0.48309337428576815,0.017926414726105733,2000,UpUpUp,5.534285216441512,5.534285216441512
WHS,CL,Half,-5.602050069959565,-5.546096034110796,-5.0117311840458685,-4.636941064604845,-4.389863327816493,-2.802793261497094,-2.361813127340004,-1.7138884215585275,-1.2581443867451036,-1.0556380478065197,-1.1150898144009547,-1.4022596808607313,5.602050069959565,-1.0556380478065197,0.007022269576112326,1250,TipDown,4.546412022153045,4.546412022153045
WHS,CL,Half,-4.1506848323136545,-3.2397687856007398,-2.5682803172529503,-1.8367180516856394,-1.136971993214431,-0.14787998248302586,0.5311682043248498,1.05960536514162,1.3873992942590392,1.7459727945530872,1.8575867825418202,1.8234244174452174,4.1506848323136545,1.8575867825418202,0.03404236608486534,1600,TipDown,6.008271614855475,6.008271614855475
WHS,CL,Half,-4.555493965932286,-3.8916436378743966,-3.179323553858512,-2.1654249884551118,-1.939705976894244,-1.2773959045470846,-0.4949729021656578,0.4432350230150693,0.6054487831635067,0.9979379173323893,1.5371389914223779,1.8909571615358387,4.555493965932286,1.8909571615358387,0.02703871068189554,2000,UpUpUp,6.446451127468125,6.446451127468125
